index,answer
1,"You can buy tickets online through the following URL: https://gotoams.nl/2018/registrations"
2,"I can't give you any specific information about the schedule or the location of sessions. You can find it online: https://gotoams.nl/2018/schedule"
3,"There are some really interesting speakers at the conference this year. Find more about them here: https://gotoams.nl/2018/speakers"
4,"The conference is organized in the Beurs van Berlage in Amsterdam. Set your navigation to Damrak 243, Amsterdam and you should have not trouble finding it."
5,"There are a few workshops, for example Advanced Kotlin, Designing microservices and one about monitoring microservices. Find out more here: https://gotoams.nl/2018/workshops"
6,"안녕~내이름은 올리봇이야^^"
7,"제품명이 어떻게 되나요?"
8,"닥터 자르트 마스크팩 찾아드릴까요?"
9,"메인 화면 상단의 &#39;회원가입&#39; 버튼을 클릭 하시면 CJ ONE 통합회원으로 가입하실 수 있습니다.<br />CJ ONE 통합 회원으로 가입 시, 해당 아이디로 CJ의 모든 계열사 사이트를 이용하실 수 있습니다.<br />14세 미만은 가입이 불가하오니, 참고 부탁 드립니다."
10,"회원 탈퇴는 PC &gt; 마이페이지 &gt; MY정보 &gt; 회원탈퇴 메뉴에서 가능합니다. 올리브영 회원 탈퇴만 원하실 경우&nbsp;&#39;올리브영 이용약관 철회&#39;를,&nbsp;CJ ONE 제휴 브랜드를&nbsp;포함한&nbsp;CJ ONE&nbsp;회원 탈퇴를 원하실 경우 &#39;CJ ONE&nbsp;통합회원 탈퇴&#39;를 선택하시면 됩니다.<br /><br /><br /><br /><br />&nbsp;"
11,"<strong>[올리브영 탈퇴 (이용약관 철회) 하신 경우]</strong><br />올리브영몰 이용에 대해서만 철회하신 경우, 바로 재가입이 가능합니다.<br /><br /><strong>[CJ ONE 통합회원 탈퇴하신 경우]</strong><br />CJ ONE 통합회원은 탈퇴 후 30일 이후에 가입이 가능합니다.<br /><br /><br />&nbsp;"
12,"<strong>[올리브영 탈퇴 (이용약관 철회) 하신 경우]</strong><br />올리브영 이용약관 철회시에도 CJ ONE 포인트는 유지되며, 올리브영 이외의 다른 CJ ONE 제휴브랜드에서 계속 사용할 수 있습니다.<br /><br /><strong>[CJ ONE 통합회원 탈퇴하신 경우]</strong><br />CJ ONE 포인트를 보유하고&nbsp;있는 회원은&nbsp;CJ ONE 통합회원 탈퇴가 제한됩니다.&nbsp;탈퇴를 원하실 경우 CJ ONE 고객센터(1577-8888)로 연락 주시기 바랍니다."
13,"CJ ONE 통합회원 탈퇴 후에는 이전 주문내역을 조회하실 수 없습니다.<br />다만, 올리브영&nbsp;회원만 탈퇴(올리브영 약관&nbsp;철회 / CJ ONE 통합회원은 유지)&nbsp;후 재가입하시면 이전 주문내역 조회가 가능합니다."
14,"로그인 화면의 &#39;아이디 찾기&#39; 버튼을 누르시면 본인 인증 후 가입 시 등록하셨던 아이디를 확인하실 수 있습니다."
15,"로그인 화면의 &#39;비밀번호 찾기&#39; 버튼을 누르시면 본인 인증 후 새 비밀번호를 등록하실 수 있습니다."
16,"<strong>[PC 사이트로 접속하신 경우]</strong><br />마이페이지 &gt; MY정보 &gt; 회원정보 수정 &gt;&nbsp;비밀번호 변경&nbsp;메뉴에서 회원정보 변경이 가능합니다.<br /><br /><strong>[모바일로 접속하신 경우]</strong><br />마이페이지 &gt; 정보수정 &gt; 비밀번호 변경&nbsp;버튼을 클릭하여 회원정보 변경이 가능합니다."
17,"아이디는 변경하실 수 없습니다.<br />아이디 변경이 필요한 경우 고객센터(1577-4887)로 문의 부탁드립니다."
18,"<strong>[PC 사이트로 접속하신 경우]</strong><br />마이페이지 &gt; MY정보 &gt; 회원정보 수정 메뉴에서 회원정보 변경이 가능합니다.<br /><br /><strong>[모바일로 접속하신 경우]</strong><br />마이페이지 &gt; 정보수정 버튼을 클릭하여 회원정보 변경이 가능합니다."
19,"개명을 하셨다면, CJ ONE 홈페이지(http://www.cjone.com) 내 &#39;회원정보 수정&#39;에서 본인 인증을 통해 직접 성함을 변경하실 수 있습니다."
20,"<strong>[PC 사이트로 접속하신 경우]</strong><br />마이페이지 &gt; MY정보 &gt; 회원정보 수정 &gt; 광고 정보 수신 여부에서 광고성 문자나 이메일 수신거부가 가능합니다.<br /><br /><strong>[모바일로 접속하신 경우]</strong><br /><u>1) 광고성문자, 이메일 수신거부</u><br />&#39;마이페이지 &gt; 정보수정&#39; 버튼을 클릭하여 광고성 문자나 이메일 수신거부가 가능합니다.<br /><u>2) PUSH 수신거부</u><br />&#39;좌측메뉴(三) &gt; 설정&#39;에서 알림 설정을 통해 &#39;이벤트와 혜택 알림 받기&#39;, &#39;관심매장 공지 알림 받기&#39; 설정이 가능합니다.<br />&nbsp;"
21,"CJ ONE 멤버쉽은 한 장의 카드로 CJ 패밀리브랜드의 모든 포인트가 통합 적립되며,<br />CJ패밀리브랜드 어느 곳에서나 상품/서비스 구매 시 현금처럼 사용할 수 있는 CJ만의 다양하고 풍성한 혜택이 있는 멤버쉽서비스 입니다.&nbsp;"
22,"포인트는 적립 시기로부터 2년까지 유효하며, 그 이후 자동 소멸됩니다.<br />이벤트로 발생한 포인트의 경우, 이벤트에 따라 유효기간이 다를 수 있습니다."
23,"온라인 구매의 경우 포인트는 상품 수령 후 적립되며, 매장 구매의 경우 구입 당일에 한해 구입 매장에 방문해주시면 가능합니다."
24,"본인 확인을 위해 실물카드 및 모바일 카드를 소지하신 경우에만 포인트 사용이 가능하며, 10,000P 이상 사용 시 고객님께서 지정한 비밀번호 입력 후 가능합니다."
25,"CJ ONE 카드는 올리브영 매장에서 수령 가능하며, 수령 후 CJ ONE 홈페이지(http://www.cjone.com)에서 회원가입해주셔야 이용 가능합니다."
26,"<strong>[PC 사이트로 접속하신 경우]</strong><br />마이페이지 상단 또는 마이페이지 &gt; MY쇼핑 &gt; CJ ONE포인트에서 적립한 포인트와 상세내역을 확인하실 수 있습니다.<br /><br /><strong>[모바일로 접속하신 경우]</strong><br />좌측메뉴(三) &gt; 마이페이지에서 적립한 포인트를 확인하실 수 있으며, 해당 포인트를 클릭하시면 상세내역도 확인하실 수 있습니다."
27,"CJ ONE 홈페이지(http://www.cjone.com)에서 회원 가입 후 등록 하실 수 있습니다."
28,"실적에 따른 등급은 온라인과 오프라인이 동일하게 적용됩니다.일반, VIP, VVIP의 올리브영 등급은 온라인과 오프라인이 동일하나온라인의 경우, VIP가 되지 못하신 일반 등급의 고객님들을 블루, 실버, 골드 등급으로 구분하고 있습니다.※ 오프라인: 일반 - VIP - VVIP / 온라인: 블루 - 실버 - 골드 - VIP - VVIP"
29,"올리브영 VIP는 올리브영 회원가입(약관동의)이 되어야 VIP 승급 적용되며, 승급 적용 이후에 회원가입을 하셨다면 VIP 승급 적용이 어렵습니다."
30,"<strong>[PC&nbsp;사이트로 접속하신 경우]</strong>마이페이지 상단에서 고객님의 등급을 확인하실 수 있으며, &#39;마이페이지 &gt; 등급혜택&#39;에서 상세내용을 확인하실 수 있습니다.<strong>[모바일로 접속하신 경우]</strong>좌측메뉴(三) &gt; 마이페이지 에서 고객님의 등급을 확인하실 수 있으며, &#39;등급혜택&#39;을 클릭하시면 상세내역도 확인하실 수 있습니다."
31,"주문내역은 마이페이지에서 확인이 가능합니다.아래 링크를 클릭하시면 바로 연결됩니다."
32,"주문 취소는 마이페이지 내 주문내역에서 신청이 가능합니다.&#39;결제완료&#39; 단계까지만 취소가 가능하며, 상품준비 단계부터는 상품 수령 후 반품으로 진행해주셔야 하는 점, 참고 부탁 드립니다."
33,"상품준비와 출고가 동시에 이루어지기 때문에 상품준비중인 상태에서는&nbsp;취소가 불가하며, 상품 수령 후 반품으로 진행해주셔야 합니다."
34,"결제수단 변경은 신용카드에 한해 주문일 기준 15일 이내에 가능합니다."
35,"올리브영에서 사용하실 수 있는 결제수단은 주결제수단, 부결제수단으로 나눠지며주결제수단 1개, 부결제수단 1개는 혼합 사용이 가능하나 주결제수단, 혹은 부결제수단끼리의 혼합결제는 불가능합니다.※ 주결제수단: 카드, 무통장, 휴대폰, 실시간계좌이체, 도서, 문화상품권&nbsp; &nbsp;부결제: 예치금, CJ ONE POINT, (CJ임직원의 경우)카페테리아"
36,"현금영수증은 주문 시 신청하실 수 있으며,&nbsp;원하시는 방식으로 신청이 가능합니다."
37,"비회원 주문은 서비스되지 않습니다.CJ ONE 통합회원으로 가입해 주셔야 서비스 이용이 가능하시며,인터넷에서 간단하게 가입이 가능하니, 가입 후 이용 부탁 드립니다."
38,"전화 주문은 서비스되지 않습니다."
39,"장바구니에 담은 상품은 90일 간 보관됩니다."
40,"고객님께서 담아두신 상품을 주문하시면, 장바구니에서 해당 상품은 삭제됩니다.주문을 하지 않으셨는데 삭제되셨다면 보관 기간이 지났을 수 있습니다.보관한지 90일이 지나면 장바구니에서 삭제되게 됩니다. (품절 상품도 동일하게 보관합니다)"
41,"주문하신 상품의 옵션 변경은 불가하며, 변경을 원하실 경우 취소 후 재주문해주셔야 합니다."
42,"1+1, 혹은 2+1 등의 프로모션의 경우,주문하실 수량만 입력하시면 +1은 자동으로 계산되어 함께 배송됩니다.(ex. 1+1 상품 1개 주문 &rarr; +1 상품 자동 계산되어 2개로 배송)"
43,"당사는 표시광고법에 의거, 세일 전 가격을 기재하지 않습니다.보시고 계신 가격이 세일가라고 생각해주시면 됩니다."
44,"체크카드 결제도 가능합니다."
45,"영수증은 PC에서 확인 가능합니다.마이페이지 &gt; MY 쇼핑 &gt; 거래증빙서류 확인 메뉴에서 신용카드 영수증과 거래명세서를 확인하실 수 있습니다."
46,"법인카드 결제도 가능합니다."
47,"법인카드는 할부 거래가 불가능합니다."
48,"할부 결제 후 부분취소로 인해 5만원 이하로 변경되더라도 할부 개월 수는 유지됩니다."
49,"인터넷안전결제(ISP)란,ISP&nbsp;서비스가 적용되는&nbsp;카드로 결제 시카드번호를 직접 입력하지 않고 카드사에서 발급하는 가상의 인터넷안전결제(ISP) 비밀번호만으로 안전한 전자상거래를 할 수 있는 서비스입니다.※ 거래금액이 30만원 이상일 때는 공인인증 과정을 거치셔야 합니다.※ ISP 적용 카드: 국민/BC/우리/우체국/제주은행/전북은행/광주은행/수협/KDB산업/MG새마을금고&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; /저축은행/신협/현대증권"
50,"안전결제(ISP) 비밀번호는 분실 시 재발급 받으셔야 합니다.비밀번호 재발급은 해당 카드사 홈페이지에서 재발급 신청하시거나,주문/결제 과정에서 인터넷안전결제(ISP) 페이지 하단의 &#39;결제 비밀번호 변경&#39; 버튼을 클릭하여 새로운 비밀번호를 등록하시면 됩니다.※ 자세한 내용은 <a href="http://www.vp.co.kr/home/sub01_001_0002.html">http://www.vp.co.kr/home/sub01_001_0002.html</a> 참고 부탁드립니다."
51,"청구할인은 결제 시 할인이 아니라 고객님의 카드값이 청구될때 할인이 되어 청구되는 개념입니다.카드값 청구 시 확인이 가능하며, 거래내역서 표기방식은 카드사 별로 상이합니다."
52,"매장 구매 시엔 모든 카드가 사용 가능하며,올리브영 온라인몰에서 결제 가능한 카드는 BC, KB, 신한, 삼성, 하나, 현대, 롯데, NH, 씨티 카드입니다."
53,"무통장입금으로 결제하실 경우고객님께서 선택하신 은행의 일회용 가상계좌가 발급되며, 해당 계좌번호로 입금해주시면 가능합니다."
54,"무통장 입금으로 주문 시 24시간 이내에 입금해주셔야 주문이 가능하며,24시간 이후에는 자동으로 주문이 취소됩니다."
55,"입금 확인은 입금 후 바로 처리됩니다."
56,"입금 확인이 되면 주문상태가 &#39;결제완료&#39;로 변경됩니다."
57,"주문 접수 이후 은행 변경은 어렵습니다.다소 번거로우시겠지만 주문 취소 후 재주문 해주셔야 합니다."
58,"고객님께만 유효한 일회용 가상계좌이기 때문에주문자와 입금자명이 상이해도 문제없이 입금처리가 됩니다.다만, 차후 혹시라도 문제가 발생할 시 수월한 확인을 위해 주문자와 동일한 이름으로입금해주시는 것을 권장해드립니다."
59,"금액과 다르게 입금하실 경우, 입금 자체가 불가능합니다."
60,"무통장입금 이용 가능 은행은기업, 국민, 수협, 농협, 우리, 대구, 부산, 우체국, 하나, 신한 은행입니다."
61,"발급된 가상계좌번호는 주문내역에서 확인 가능합니다."
62,"실시간 계좌이체 가능 계좌는산업, 기업, 국민, 수협, 농협, 신협, 우리, 제일, 시티, 대구, 부산, 전북, 경남, 새마을금고, 우체국, 하나,신한, 동양증권, 미래에셋, 신한금융투자, 삼성증권 계좌입니다."
63,"실시간계좌이체 이용 시, 본인 확인을 위한 공인인증서가 필요합니다."
64,"실시간계좌이체의 은행별 가능 시간은 결제 시 은행을 선택하시면 표기됩니다."
65,"법인계좌로도 실시간계좌이체 이용이 가능합니다."
66,"CJ ONE POINT는 모든 CJ 패밀리브랜드에서 통합 적립되는 포인트이며,CJ패밀리브랜드 어느 곳에서나 상품/서비스 구매 시 현금처럼 사용할 수 있습니다."
67,"CJ ONE POINT는 모든 CJ 패밀리브랜드에서 통합 적립되는 포인트이며,CJ패밀리브랜드 어느 곳에서나 상품/서비스 구매 시 현금처럼 사용할 수 있습니다."
68,"포인트는 적립 시기로부터 2년까지 유효하며, 그 이후 자동 소멸됩니다."
69,"사용한 쿠폰이나 ONE POINT는 취소나 반품 시 사용하신만큼 원복됩니다.쿠폰의 경우, 사용기간이 경과한 쿠폰은&nbsp;원복되지 않습니다."
70,"<p>온라인몰에서 주문하신 상품은 주문일 기준 3일~5일 이내(주말 및 공휴일 제외)로 배송됩니다.※ 도서산간, 제주도 지역의 경우 5~7일 이내 배송됩니다.※ 브랜드 세일 기간에는 주문량 폭주로 인해 주문일로부터 5~7일 이내 배송됩니다.※ 예약배송 상품의 경우, 지정된 배송일에 배송됩니다.</p>&nbsp;"
71,"지정일 및 지정시간 배송은 불가능합니다."
72,"배송비는 실결제금액 기준 2만원 이상 결제 시 무료이며, 2만원 이하 결제의 경우 기본적으로 배송비는 2,500원입니다.※ 추가 배송비가&nbsp;발생하는 경우&nbsp;- 도서산간:&nbsp;+2,500원 (5,000원)&nbsp;- 제주도:&nbsp;&nbsp;+2,500원 (5,000원)&nbsp;- 제주도의 도서산간 지역:&nbsp;&nbsp;+7,000원 (9,500원)&nbsp;<div class="WordSection1"><span style="line-height:normal"><span style="-ms-word-break:keep-all"><span style="color:black">※</span> <span style="color:black">업체배송</span> <span style="color:black">상품의</span> <span style="color:black">경우</span> <span style="color:black">업체의</span> <span style="color:black">규정에</span> <span style="color:black">따라</span> <span style="color:black">비용이</span> <span style="color:black">상이할</span> <span style="color:black">수</span> <span style="color:black">있습니다</span><span style="color:black"><span style="font-family:&quot;Calibri&quot;,sans-serif">.</span></span></span></span>&nbsp;</div>"
73,"무료배송은 실제 결제하신 금액을 기준으로 적용되므로,쿠폰 등을 이용한 할인 이후 실제 결제하시는 금액이 2만원 미만일 경우 배송비가 부과될 수 있습니다."
74,"배송지 변경은 결제완료 단계에서만 가능하나, 결제완료 단계에서도이미 물류에 출고 지시가 된 경우에는 불가능 합니다.&nbsp;&nbsp;"
75,"배송현황은 마이페이지 내 주문내역에서 확인하실 수 있습니다."
76,"주문 시 복수 배송지 선택은 불가합니다."
77,"해외배송은 불가능 합니다."
78,"현재 온라인 주문은 택배 배송으로만 수령 가능하며, 매장 수령은 불가능합니다."
79,"올리브영 온라인몰의 상품은 일부 업체배송 상품을 제외하고, CJ대한통운 택배를 이용해 안전하게 배송되고 있습니다.업체배송 상품의 경우, 해당 업체에 따라 택배사가 상이할 수 있습니다."
80,"마이페이지 내 주문내역에서 신청이 가능합니다."
81,"교환은 상품을 수령하신 날짜를 기준으로 15일 이내에 가능합니다.다만 상품의 불량, 배송오류 등 당사의 실수로 인한 교환인 경우, 30일 이내 신청이 가능합니다."
82,"교환 철회는 &#39;교환접수&#39; 단계까지 가능하며, &#39;교환처리중&#39;으로 변경된 이후부터는 불가능합니다."
83,"교환 시 지불하여야 하는 교환비용은 [배송비+회수비]로 5,000원입니다.※ 추가&nbsp;비용이&nbsp;발생하는 경우&nbsp;- 도서산간:&nbsp;+5,000원 (10,000원)&nbsp;- 제주도:&nbsp;&nbsp;+5,000원 (10,000원)&nbsp;- 제주도의 도서산간 지역:&nbsp;&nbsp;14,000원 (19,000원)당사의 실수로 인한 교환일 시에는 교환에 필요한 비용은 당사에서 부담합니다."
